year,mon,day,hour,min,sec,x,y,z,altitude,latitude,longitude,longitude_,L,B/B0,epoch
2017,6,24,4,13,21,6760.560511974029,2206.2091830152367,1110.4550114954563,819.990163763985,8.927205352397687,41.302293519190926,-318.6977064808091,1.087,1.0190000000000001,2017-06-24 04:13:21+00:00
2017,6,24,4,13,27,6769.015656999761,2202.0170071069083,1066.7992053799885,820.010827682846,8.573570107354332,41.223963864743496,-318.7760361352565,1.0859999999999999,1.015,2017-06-24 04:13:27+00:00
2017,6,24,4,13,33,6777.210016589386,2197.7399956711133,1023.1021947436363,820.0328774838808,8.219925055908869,41.14573302692577,-318.85426697307423,1.087,1.011,2017-06-24 04:13:33+00:00
2017,6,24,4,13,39,6785.143278633587,2193.378314654732,979.365667937162,820.0563160829661,7.866270838401216,41.067596405532356,-318.93240359446764,1.0859999999999999,1.008,2017-06-24 04:13:39+00:00
2017,6,24,4,13,45,6792.815141189546,2188.9321332980217,935.5913148314999,820.0811461856247,7.512608094208044,40.989549935135926,-319.0104500648641,1.0859999999999999,1.005,2017-06-24 04:13:45+00:00
2017,6,24,4,13,51,6800.225263694457,2184.401654782176,891.7811205670081,820.1073701058303,7.158939832773824,40.91158976332861,-319.0884102366714,1.0859999999999999,1.003,2017-06-24 04:13:51+00:00
2017,6,24,4,13,57,6807.373463979716,2179.786994136835,847.936190136848,820.1349904781537,6.805261947290728,40.833711001655956,-319.16628899834404,1.0859999999999999,0.997,2017-06-24 04:13:57+00:00
2017,6,24,4,14,3,6814.259420122988,2175.0883605244076,804.058511096631,820.1640092019888,6.45157744505327,40.755910018201405,-319.2440899817986,1.087,0.9990000000000001,2017-06-24 04:14:03+00:00
2017,6,24,4,14,9,6820.882870972348,2170.3059362809486,760.1497786471974,820.1944281349924,6.097886961444869,40.67818234467211,-319.3218176553279,1.087,0.998,2017-06-24 04:14:09+00:00
2017,6,24,4,14,15,6827.243565623979,2165.4399069808437,716.2116889921715,820.2262489215336,5.744191129666821,40.60052404065857,-319.39947595934143,1.088,0.997,2017-06-24 04:14:15+00:00
2017,6,24,4,14,21,6833.341223389003,2160.4904949225247,672.2462344084215,820.2594727645173,5.390492954442508,40.52293136993353,-319.47706863006647,1.088,0.996,2017-06-24 04:14:21+00:00
2017,6,24,4,14,27,6839.1756955967785,2155.4578258057286,628.2545237219482,820.2941013254813,5.036788324909391,40.44539956118018,-319.5546004388198,1.089,0.996,2017-06-24 04:14:27+00:00
2017,6,24,4,14,33,6844.746720299396,2150.3421278334736,584.238550929114,820.3301353876186,4.683080243474238,40.367925085462446,-319.63207491453755,1.09,1.001,2017-06-24 04:14:33+00:00
2017,6,24,4,14,39,6850.054087562473,2145.143599538152,540.2000163156001,820.3675757368746,4.3293693410443,40.290503573681576,-319.7094964263184,1.091,1.002,2017-06-24 04:14:39+00:00
2017,6,24,4,14,45,6855.097597734756,2139.8624426530205,496.14062085704523,820.4064229437281,3.975656246755563,40.21313117833682,-319.7868688216632,1.092,1.003,2017-06-24 04:14:45+00:00
2017,6,24,4,14,51,6859.87703025805,2134.4988983796798,452.0623620696337,820.4466770879517,3.6219439621701115,40.135804248228055,-319.86419575177194,1.093,1.012,2017-06-24 04:14:51+00:00
2017,6,24,4,14,57,6864.392270130992,2129.0531029316535,407.96635125854124,820.4883388477047,3.2682283717317473,40.058518095925706,-319.9414819040743,1.094,1.014,2017-06-24 04:14:57+00:00
2017,6,24,4,15,3,6868.643115603084,2123.5253033399636,363.85458703901514,820.5314078795764,2.9145124750890328,39.981269265030505,-320.0187307349695,1.095,1.0170000000000001,2017-06-24 04:15:03+00:00
2017,6,24,4,15,9,6872.629408154998,2117.915714124857,319.7287730369473,820.5758838886904,2.560796899225894,39.90405345454599,-320.095946545454,1.097,1.02,2017-06-24 04:15:09+00:00
2017,6,24,4,15,15,6876.350999560234,2112.224552990238,275.5906134360087,820.6217663631933,2.207082271195746,39.8268668792482,-320.1731331207518,1.099,1.023,2017-06-24 04:15:15+00:00
2017,6,24,4,15,21,6879.807729614843,2106.452079772135,231.44210880528564,820.6690542525021,1.8533715885599897,39.7497059428498,-320.2502940571502,1.1,1.0270000000000001,2017-06-24 04:15:21+00:00
2017,6,24,4,15,27,6882.999517067429,2100.598441077728,187.28437198607816,820.7177472447356,1.4996607336392362,39.67256601035399,-320.327433989646,1.102,1.031,2017-06-24 04:15:27+00:00
2017,6,24,4,15,33,6885.926220558852,2094.663902504235,143.11940412873096,820.7678438642761,1.145952703279232,39.59544366832199,-320.404556331678,1.104,1.036,2017-06-24 04:15:33+00:00
2017,6,24,4,15,39,6888.587733111845,2088.648694357592,98.94891063310008,820.8193425878735,0.7922204273817295,39.51833465405332,-320.4816653459467,1.1059999999999999,1.041,2017-06-24 04:15:39+00:00
2017,6,24,4,15,45,6890.983958074856,2082.5530500611953,54.774596962172254,820.8722422019719,0.43853228144970724,39.44123521453889,-320.5587647854611,1.1079999999999999,1.042,2017-06-24 04:15:45+00:00
2017,6,24,4,15,51,6893.114809117975,2076.377206160275,10.598168677839958,820.9265405929782,0.08484883807963213,39.36414143119697,-320.63585856880303,1.111,1.052,2017-06-24 04:15:51+00:00
2017,6,24,4,15,57,6894.980198612643,2070.121444547555,-33.578372266940335,820.9822353501495,-0.2688269110578161,39.28704973578863,-320.7129502642114,1.113,1.058,2017-06-24 04:15:57+00:00
2017,6,24,4,16,3,6896.580085906869,2063.7859240624225,-77.75391294656299,821.0393249710669,-0.6224990915248199,39.20995568379624,-320.79004431620376,1.1159999999999999,1.065,2017-06-24 04:16:03+00:00
2017,6,24,4,16,9,6897.9144022544315,2057.370932239628,-121.92645167598499,821.0978068369468,-0.9761988301244903,39.13285536983091,-320.8671446301691,1.1179999999999999,1.072,2017-06-24 04:16:09+00:00
2017,6,24,4,16,15,6898.983102641173,2050.876718008412,-166.09428322770384,821.1576780164933,-1.3298696144287896,39.055745044033415,-320.9442549559666,1.121,1.079,2017-06-24 04:16:15+00:00
2017,6,24,4,16,21,6899.786152386229,2044.3035333633056,-210.2557026662087,821.2189356977478,-1.6835325847921483,38.97862078506705,-321.02137921493295,1.124,1.0759999999999998,2017-06-24 04:16:21+00:00
2017,6,24,4,16,27,6900.323524429428,2037.65167821414,-254.40870942350213,821.2815763396702,-2.037184747796282,38.90147901623271,-321.0985209837673,1.127,1.084,2017-06-24 04:16:27+00:00
2017,6,24,4,16,33,6900.595211960298,2030.9213214622823,-298.55219138118116,821.3455974496646,-2.390830223287427,38.8243152781244,-321.1756847218756,1.13,1.093,2017-06-24 04:16:33+00:00
2017,6,24,4,16,39,6900.601206800704,2024.112768584269,-342.68414873007106,821.4109950639076,-2.7444660175871047,38.74712564521968,-321.2528743547803,1.1340000000000001,1.102,2017-06-24 04:16:39+00:00
2017,6,24,4,16,45,6900.341515597312,2017.226283746084,-386.80287827605787,821.4777654184572,-3.098091508364864,38.66990634145242,-321.3300936585476,1.138,1.111,2017-06-24 04:16:45+00:00
2017,6,24,4,16,51,6899.816155325985,2010.2621341257832,-430.9066774554171,821.545904534305,-3.4517060735195972,38.59265341339767,-321.40734658660233,1.141,1.121,2017-06-24 04:16:51+00:00
2017,6,24,4,16,57,6899.025159486005,2003.220637395736,-474.99354872694136,821.6154077469773,-3.8053067192296486,38.51536324761781,-321.4846367523822,1.145,1.131,2017-06-24 04:16:57+00:00
2017,6,24,4,17,3,6897.968555096584,1996.101972287824,-519.0623822627978,821.686271580731,-4.158897566000989,38.4380311700923,-321.5619688299077,1.148,1.1420000000000001,2017-06-24 04:17:03+00:00
2017,6,24,4,17,9,6896.6463945266,1988.9064619463377,-563.1111818737525,821.7584909520656,-4.512475619177274,38.36065354369612,-321.6393464563039,1.1520000000000001,1.153,2017-06-24 04:17:09+00:00
2017,6,24,4,17,15,6895.058736044972,1981.634385490849,-607.138248166899,821.8320610260898,-4.8660402570122345,38.28322636786919,-321.7167736321308,1.157,1.1640000000000001,2017-06-24 04:17:15+00:00
2017,6,24,4,17,21,6893.205648238729,1974.2860250178608,-651.1418825877855,821.9069767550372,-5.219590856770961,38.20574562738625,-321.79425437261375,1.16,1.177,2017-06-24 04:17:21+00:00
2017,6,24,4,17,27,6891.08722510303,1966.8617156160326,-695.1200927505753,821.9832323631463,-5.573124424689137,38.12820764262125,-321.87179235737875,1.165,1.19,2017-06-24 04:17:27+00:00
2017,6,24,4,17,33,6888.703527434845,1959.361645700824,-739.0717719760233,822.0608234017054,-5.926645078745395,38.05060783092404,-321.94939216907596,1.169,1.203,2017-06-24 04:17:33+00:00
2017,6,24,4,17,39,6886.054668058204,1951.7861557059862,-782.9949299758642,822.1397436816569,-6.280149824976328,37.97294213933378,-322.0270578606662,1.1740000000000002,1.217,2017-06-24 04:17:39+00:00
2017,6,24,4,17,45,6883.140756779687,1944.1355394525492,-826.8878726358663,822.2199873106101,-6.633638039618435,37.89520664964266,-322.10479335035734,1.178,1.2309999999999999,2017-06-24 04:17:45+00:00
2017,6,24,4,17,51,6879.961913695395,1936.4100936583343,-870.7489071453431,822.301548186786,-6.987109098754668,37.81739725401559,-322.1826027459844,1.183,1.246,2017-06-24 04:17:51+00:00
2017,6,24,4,17,57,6876.518269190264,1928.6101179393622,-914.5763419869704,822.384419999622,-7.3405623776489834,37.739509822353625,-322.2604901776464,1.188,1.261,2017-06-24 04:17:57+00:00
2017,6,24,4,18,3,6872.809989681999,1920.735967838299,-958.368193524113,822.4685956618896,-7.6939948811812995,37.6615407240472,-322.3384592759528,1.193,1.2770000000000001,2017-06-24 04:18:03+00:00
2017,6,24,4,18,9,6868.837176365996,1912.7878430944604,-1002.1233605227044,822.5540695771806,-8.047410724291396,37.583484734693,-322.416515265307,1.198,1.2930000000000001,2017-06-24 04:18:09+00:00
2017,6,24,4,18,15,6864.600014426323,1904.7661044797483,-1045.8398620763128,822.6408342536151,-8.400806910279615,37.505338171958556,-322.49466182804144,1.204,1.311,2017-06-24 04:18:15+00:00
2017,6,24,4,18,21,6860.098675306811,1896.6710630197526,-1089.5160128434225,822.7288825544592,-8.754182813364988,37.4270968031164,-322.5729031968836,1.209,1.329,2017-06-24 04:18:21+00:00
2017,6,24,4,18,27,6855.3333407138825,1888.5030325949622,-1133.1501290070826,822.8182071382826,-9.107537805878817,37.34875636663236,-322.65124363336764,1.215,1.347,2017-06-24 04:18:27+00:00
2017,6,24,4,18,33,6850.304237195722,1880.2623853922237,-1176.7402363965518,822.9087998486366,-9.460868890626758,37.27031309689812,-322.7296869031019,1.2209999999999999,1.3659999999999999,2017-06-24 04:18:33+00:00
2017,6,24,4,18,39,6845.011499477994,1871.949330382554,-1220.2852393870687,823.0006541533039,-9.81418017733958,37.19176161818541,-322.8082383818146,1.227,1.379,2017-06-24 04:18:39+00:00
2017,6,24,4,18,45,6839.455372784434,1863.5642448454537,-1263.783167249065,823.0937615005951,-10.167468667533713,37.11309809911796,-322.88690190088204,1.2329999999999999,1.406,2017-06-24 04:18:45+00:00
2017,6,24,4,18,51,6833.636079719008,1855.1074538340372,-1307.2323435688727,823.1881137415476,-10.520733730629498,37.03431814809312,-322.9656818519069,1.239,1.4269999999999998,2017-06-24 04:18:51+00:00
2017,6,24,4,18,57,6827.553853082392,1846.5792851578651,-1350.6310939681753,823.2837025280023,-10.87397473532982,36.95541733734461,-323.0445826626554,1.245,1.4480000000000002,2017-06-24 04:18:57+00:00
2017,6,24,4,19,3,6821.208979294636,1837.9801272799702,-1393.9774556314812,823.3805186603049,-11.227188680695525,36.87639173185562,-323.1236082681444,1.252,1.47,2017-06-24 04:19:03+00:00
2017,6,24,4,19,9,6814.601626420739,1829.3101981542593,-1437.2703397897264,823.4785546937774,-11.580379670873329,36.79723576721739,-323.2027642327826,1.258,1.492,2017-06-24 04:19:09+00:00
2017,6,24,4,19,15,6807.732099471358,1820.5698912338953,-1480.5077875705529,823.5778010440954,-11.933544702172846,36.71794542777582,-323.2820545722242,1.265,1.517,2017-06-24 04:19:15+00:00
2017,6,24,4,19,21,6800.600671912431,1811.7595452128664,-1523.688133419801,823.6782485779295,-12.286683139989629,36.63851612587325,-323.36148387412675,1.272,1.5419999999999998,2017-06-24 04:19:21+00:00
2017,6,24,4,19,27,6793.207627391986,1802.8795015298936,-1566.8097138681776,823.7798879680468,-12.639794346389206,36.55894323029037,-323.44105676970963,1.2790000000000001,1.567,2017-06-24 04:19:27+00:00
2017,6,24,4,19,33,6785.553311855314,1793.9301645045284,-1609.8705795075462,823.8827090022041,-12.992875316216345,36.47922259914486,-323.52077740085514,1.286,1.5930000000000002,2017-06-24 04:19:33+00:00
2017,6,24,4,19,39,6777.637926525181,1784.9117608803217,-1652.8696493295704,823.9867033496048,-13.345930144701093,36.39934843933389,-323.6006515606661,1.2930000000000001,1.6119999999999999,2017-06-24 04:19:39+00:00
2017,6,24,4,19,45,6769.461835814356,1775.8246998341453,-1695.8049784927455,824.0918604257358,-13.69895582339431,36.31931651196538,-323.6806834880346,1.301,1.6480000000000001,2017-06-24 04:19:45+00:00
2017,6,24,4,19,51,6761.025363784599,1766.669333416494,-1738.6749136346893,824.1981701434279,-14.051951709388756,36.23912199359063,-323.76087800640937,1.308,1.676,2017-06-24 04:19:51+00:00
2017,6,24,4,19,57,6752.32884456493,1757.4460162949765,-1781.47780408207,824.3056222289442,-14.404917158328434,36.15876000836823,-323.84123999163177,1.317,1.706,2017-06-24 04:19:57+00:00
2017,6,24,4,20,3,6743.372622346502,1748.1551057506347,-1824.2120018648936,824.4142062233204,-14.757851523905085,36.07822579490505,-323.92177420509495,1.324,1.736,2017-06-24 04:20:03+00:00
2017,6,24,4,20,9,6734.157114016178,1738.7970246237448,-1866.8755760084396,824.5239107446168,-15.110751792067065,35.99751440334671,-324.0024855966533,1.3330000000000002,1.767,2017-06-24 04:20:09+00:00
2017,6,24,4,20,15,6724.682560226629,1729.3720098501694,-1909.4674564269476,824.6347264393844,-15.463622046013237,35.916620213083945,-324.08337978691605,1.34,1.798,2017-06-24 04:20:15+00:00
2017,6,24,4,20,21,6714.949396171592,1719.8804889740495,-1951.9857173972318,824.7466415701138,-15.816459267100957,35.83553849259306,-324.16446150740694,1.349,1.8319999999999999,2017-06-24 04:20:21+00:00
2017,6,24,4,20,27,6704.958006104913,1710.322829556016,-1994.428722531854,824.859644952081,-16.169262801298242,35.7542640765152,-324.2457359234848,1.357,1.8659999999999999,2017-06-24 04:20:27+00:00
2017,6,24,4,20,33,6694.708784249601,1700.6994016851208,-2036.7948385177879,824.9737252230625,-16.522031992541773,35.67279190427212,-324.3272080957279,1.3659999999999999,1.901,2017-06-24 04:20:33+00:00
2017,6,24,4,20,39,6684.2022061326425,1691.0106431857719,-2079.0821517338522,825.088870068842,-16.874763816205157,35.591116723804646,-324.40888327619535,1.375,1.9380000000000002,2017-06-24 04:20:39+00:00
2017,6,24,4,20,45,6673.43854494062,1681.2567992060558,-2121.2896023942744,825.2050693214651,-17.227462342845257,35.50923258249935,-324.49076741750065,1.3840000000000001,1.975,2017-06-24 04:20:45+00:00
2017,6,24,4,20,51,6662.418294324499,1671.4383121141782,-2163.4152828128244,825.3223103269347,-17.580124542971035,35.42713442604065,-324.57286557395935,1.393,2.0140000000000002,2017-06-24 04:20:51+00:00
2017,6,24,4,20,57,6651.141888234897,1661.555561989549,-2205.457572486012,825.4405810289709,-17.932749750220943,35.34481674937609,-324.6551832506239,1.403,2.053,2017-06-24 04:20:57+00:00
